,username,talking_about_count,time
182031,burgerking,143558,2015-10-15 04:00:00+00
182643,DunkinDonuts,3555,2015-10-16 04:00:00+00
182744,Dominos,23793,2015-10-16 04:00:00+00
182760,chipotle,14533,2015-10-16 04:00:00+00
183018,burgerking,155518,2015-10-16 04:00:00+00
183332,chipotle,14966,2015-10-17 04:00:00+00
183468,Dominos,23718,2015-10-17 04:00:00+00
183965,burgerking,151987,2015-10-17 04:00:00+00
184045,DunkinDonuts,3566,2015-10-17 04:00:00+00
184288,Dominos,23566,2015-10-18 04:00:00+00
184606,chipotle,14966,2015-10-18 04:00:00+00
184958,DunkinDonuts,3564,2015-10-18 04:00:00+00
184997,burgerking,151751,2015-10-18 04:00:00+00
185639,DunkinDonuts,3564,2015-10-19 04:00:00+00
185718,burgerking,151751,2015-10-19 04:00:00+00
185978,Dominos,23566,2015-10-19 04:00:00+00
186349,chipotle,14966,2015-10-19 04:00:00+00
186720,Dominos,23566,2015-10-20 04:00:00+00
187002,DunkinDonuts,3564,2015-10-20 04:00:00+00
187148,burgerking,151751,2015-10-20 04:00:00+00
187327,chipotle,14966,2015-10-20 04:00:00+00
187876,DunkinDonuts,3564,2015-10-21 04:00:00+00
188352,burgerking,151751,2015-10-21 04:00:00+00
188583,chipotle,14966,2015-10-21 04:00:00+00
188730,Dominos,23566,2015-10-21 04:00:00+00
188771,chipotle,14966,2015-10-22 04:00:00+00
189159,Dominos,23115,2015-10-22 04:00:00+00
189307,burgerking,151751,2015-10-22 04:00:00+00
189738,DunkinDonuts,3564,2015-10-22 04:00:00+00
190510,Dominos,22711,2015-10-23 04:00:00+00
190648,chipotle,10138,2015-10-23 04:00:00+00
190841,burgerking,165809,2015-10-23 04:00:00+00
190916,DunkinDonuts,3503,2015-10-23 04:00:00+00
191030,chipotle,9903,2015-10-24 04:00:00+00
191213,DunkinDonuts,3501,2015-10-24 04:00:00+00
191663,burgerking,167893,2015-10-24 04:00:00+00
191728,Dominos,22711,2015-10-24 04:00:00+00
192399,Dominos,22880,2015-10-25 04:00:00+00
192540,burgerking,172493,2015-10-25 04:00:00+00
192576,DunkinDonuts,3501,2015-10-25 04:00:00+00
192937,chipotle,9903,2015-10-25 04:00:00+00
193681,Dominos,23108,2015-10-26 04:00:00+00
193686,burgerking,172493,2015-10-26 04:00:00+00
194205,DunkinDonuts,3448,2015-10-26 04:00:00+00
194380,chipotle,23217,2015-10-26 04:00:00+00
194487,DunkinDonuts,3448,2015-10-27 04:00:00+00
194553,burgerking,165138,2015-10-27 04:00:00+00
194755,chipotle,30098,2015-10-27 04:00:00+00
194903,Dominos,23211,2015-10-27 04:00:00+00
195517,chipotle,35360,2015-10-28 04:00:00+00
195660,DunkinDonuts,3422,2015-10-28 04:00:00+00
196139,burgerking,160140,2015-10-28 04:00:00+00
196182,Dominos,23159,2015-10-28 04:00:00+00
197094,chipotle,39710,2015-10-29 04:00:00+00
197167,Dominos,23159,2015-10-29 04:00:00+00
197429,burgerking,158464,2015-10-29 04:00:00+00
197644,DunkinDonuts,3405,2015-10-29 04:00:00+00
